neighbourhood_group,neighbourhood
Brooklyn,Kensington
Manhattan,Midtown
Manhattan,Harlem
Brooklyn,Clinton Hill
Manhattan,East Harlem
Manhattan,Murray Hill
Brooklyn,Bedford-Stuyvesant
Manhattan,Hell's Kitchen
Manhattan,Upper West Side
Manhattan,Chinatown
Brooklyn,South Slope
Manhattan,West Village
Brooklyn,Williamsburg
Brooklyn,Fort Greene
Manhattan,Chelsea
Brooklyn,Crown Heights
Brooklyn,Park Slope
Brooklyn,Windsor Terrace
Manhattan,Inwood
Manhattan,East Village
Brooklyn,Greenpoint
Brooklyn,Bushwick
Brooklyn,Flatbush
Manhattan,Lower East Side
Brooklyn,Prospect-Lefferts Gardens
Queens,Long Island City
Manhattan,Kips Bay
Manhattan,SoHo
Manhattan,Upper East Side
Brooklyn,Prospect Heights
Manhattan,Washington Heights
Queens,Woodside
Brooklyn,Brooklyn Heights
Brooklyn,Carroll Gardens
Brooklyn,Gowanus
Brooklyn,Flatlands
Brooklyn,Cobble Hill
Queens,Flushing
Brooklyn,Boerum Hill
Queens,Sunnyside
Brooklyn,DUMBO
Staten Island,St. George
Bronx,Highbridge
Manhattan,Financial District
Queens,Ridgewood
Manhattan,Morningside Heights
Queens,Jamaica
Queens,Middle Village
Manhattan,NoHo
Queens,Ditmars Steinway
Manhattan,Flatiron District
Manhattan,Roosevelt Island
Manhattan,Greenwich Village
Manhattan,Little Italy
Brooklyn,East Flatbush
Staten Island,Tompkinsville
Queens,Astoria
Bronx,Clason Point
Bronx,Eastchester
Bronx,Kingsbridge
Manhattan,Two Bridges
Queens,Queens Village
Queens,Rockaway Beach
Queens,Forest Hills
Manhattan,Nolita
Bronx,Woodlawn
Bronx,University Heights
Brooklyn,Gravesend
Manhattan,Gramercy
Bronx,Allerton
Brooklyn,East New York
Manhattan,Theater District
Bronx,Concourse Village
Brooklyn,Sheepshead Bay
Staten Island,Emerson Hill
Brooklyn,Fort Hamilton
Brooklyn,Bensonhurst
Manhattan,Tribeca
Staten Island,Shore Acres
Brooklyn,Sunset Park
Bronx,Concourse
Queens,Elmhurst
Brooklyn,Brighton Beach
Queens,Jackson Heights
Brooklyn,Cypress Hills
Queens,St. Albans
Staten Island,Arrochar
Queens,Rego Park
Bronx,Wakefield
Staten Island,Clifton
Brooklyn,Bay Ridge
Staten Island,Graniteville
Bronx,Spuyten Duyvil
Staten Island,Stapleton
Queens,Briarwood
Queens,Ozone Park
Brooklyn,Columbia St
Brooklyn,Vinegar Hill
Bronx,Mott Haven
Bronx,Longwood
Brooklyn,Canarsie
Manhattan,Battery Park City
Manhattan,Civic Center
Queens,East Elmhurst
Staten Island,New Springville
Bronx,Morris Heights
Queens,Arverne
Queens,Cambria Heights
Staten Island,Tottenville
Staten Island,Mariners Harbor
Staten Island,Concord
Brooklyn,Borough Park
Queens,Bayside
Brooklyn,Downtown Brooklyn
Bronx,Port Morris
Bronx,Fieldston
Queens,Kew Gardens
Brooklyn,Midwood
Queens,College Point
Bronx,Mount Eden
Bronx,City Island
Queens,Glendale
Staten Island,Port Richmond
Brooklyn,Red Hook
Queens,Richmond Hill
Queens,Bellerose
Queens,Maspeth
Bronx,Williamsbridge
Bronx,Soundview
Queens,Woodhaven
Staten Island,Woodrow
Bronx,Co-op City
Manhattan,Stuyvesant Town
Bronx,Parkchester
Bronx,North Riverdale
Brooklyn,Dyker Heights
Bronx,Bronxdale
Brooklyn,Sea Gate
Bronx,Riverdale
Queens,Kew Gardens Hills
Queens,Bay Terrace
Bronx,Norwood
Bronx,Claremont Village
Queens,Whitestone
Bronx,Fordham
Queens,Bayswater
Brooklyn,Navy Yard
Brooklyn,Brownsville
Staten Island,Eltingville
Queens,Fresh Meadows
Bronx,Mount Hope
Staten Island,Lighthouse Hill
Queens,Springfield Gardens
Queens,Howard Beach
Queens,Belle Harbor
Queens,Jamaica Estates
Bronx,Van Nest
Bronx,Morris Park
Staten Island,West Brighton
Queens,Far Rockaway
Queens,South Ozone Park
Bronx,Tremont
Queens,Corona
Staten Island,Great Kills
Brooklyn,Manhattan Beach
Manhattan,Marble Hill
Staten Island,Dongan Hills
Staten Island,Castleton Corners
Bronx,East Morrisania
Bronx,Hunts Point
Queens,Neponsit
Bronx,Pelham Bay
Staten Island,Randall Manor
Bronx,Throgs Neck
Staten Island,Todt Hill
Bronx,West Farms
Staten Island,Silver Lake
Bronx,Morrisania
Queens,Laurelton
Staten Island,Grymes Hill
Queens,Holliswood
Bronx,Pelham Gardens
Bronx,Belmont
Queens,Rosedale
Queens,Edgemere
Staten Island,New Brighton
Staten Island,Midland Beach
Bronx,Baychester
Bronx,Melrose
Brooklyn,Bergen Beach
Staten Island,Richmondtown
Staten Island,Howland Hook
Bronx,Schuylerville
Brooklyn,Coney Island
Staten Island,New Dorp Beach
Staten Island,Prince's Bay
Staten Island,South Beach
Brooklyn,Bath Beach
Queens,Jamaica Hills
Staten Island,Oakwood
Bronx,Castle Hill
Queens,Hollis
Queens,Douglaston
Staten Island,Huguenot
Bronx,Olinville
Bronx,Edenwald
Staten Island,Grant City
Staten Island,Westerleigh
Staten Island,"Bay Terrace, Staten Island"
Bronx,Westchester Square
Queens,Little Neck
Staten Island,Fort Wadsworth
Staten Island,Rosebank
Bronx,Unionport
Brooklyn,Mill Basin
Staten Island,Arden Heights
Staten Island,Bull's Head
Staten Island,New Dorp
Staten Island,Rossville
Queens,Breezy Point
Staten Island,Willowbrook
